Title,Chapter,Date,Volume Type,Printer / Publisher,Shelf Mark / Call Number,File,Tags,Notes,Status
1852_RecueilDesLoisEtActes_InstructionPublique,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),1852,,,,,,,To Process
1852-3_CLHAF_T1,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,To Process
"Échos du Temps Passé
",Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),1853,,,,,,,To Process
L'écho des chansonniers français,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),1853,,,,,,,To Process
Poesies populaires MS volume 3,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,To Process
