Title,Authors,Pub Year,Format,Thematic Tags,Zotero Link,Read Status,Chapters,Key Points,Priority,URL
Test item,,,,,zotero://select/library/items/AVX398KY,,,,,
Adorno benjamin correspondence,,,,,,,,,,
