Title,Section,Status,Word Count,Target Date,Notes,Excerpts / Sections (Primary Source Excerpts),Primary Sources
"Chapter 1 ",,,,,,"Classification System for Popular Poetry (1852) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Classification%20System%20for%20Popular%20Poetry%20(1852)%201eea8fa33dc5814490c1c93bb785bbf7.md), Initial Implementation of Poetry Collection (1852) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Initial%20Implementation%20of%20Poetry%20Collection%20(1852)%201eea8fa33dc5817b94a2c0c7dad35759.md), Medieval Popular Poetry Categories (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Medieval%20Popular%20Poetry%20Categories%20(1853)%201eea8fa33dc581e09f36c893d3d94cad.md), Musical Dimension of Popular Poetry (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Musical%20Dimension%20of%20Popular%20Poetry%20(1853)%201eea8fa33dc581c08154d9eddcce62de.md), Official Instructions for Philology Section (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Official%20Instructions%20for%20Philology%20Section%20(1853)%201eea8fa33dc581b681e9c2d51c4f278e.md), Oral vs. Written Popular Poetry Division (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Oral%20vs%20Written%20Popular%20Poetry%20Division%20(1853)%201eea8fa33dc5817fa173d7ef2d0cc8a3.md), Popular Poetry Definition and Canadian Outreach (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Popular%20Poetry%20Definition%20and%20Canadian%20Outreach%20(1%201eea8fa33dc5812ab5c0e2e9e85e8831.md), Progress Report on Popular Poetry Collection (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Progress%20Report%20on%20Popular%20Poetry%20Collection%20(1853%201eea8fa33dc581d88b94fbeec13b3b1c.md), Selection Criteria Refinement and Broader Instructions (1853) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Selection%20Criteria%20Refinement%20and%20Broader%20Instruct%201eea8fa33dc581f7a05cdd3e72bd3fd4.md), Le Roi d'Yvetot/quand un tendron vient dans ces lieux (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Le%20Roi%20d'Yvetot%20quand%20un%20tendron%20vient%20dans%20ces%20li%201f6a8fa33dc580dda556f47d476dbd93.md), Untitled (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Untitled%201fca8fa33dc5803e9833d159845b5321.md), Histoire des livres populaires ou de la littérature du colportage… jusqu’à l’établissement de la commission d’examen des livres de colportage – 30 novembre 1852 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Histoire%20des%20livres%20populaires%20ou%20de%20la%20litte%CC%81ratu%20203a8fa33dc580d7bba6c31115b7f5fd.md)","""Variétés"" section - Decree on the ""Recueil général des poésies populaires de la France"" (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Varie%CC%81te%CC%81s%20section%20-%20Decree%20on%20the%20Recueil%20ge%CC%81ne%CC%81r%201eea8fa33dc581f99c1ad738e83ab486.md), Untitled (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Untitled%201f6a8fa33dc580de899ed4f5b56bcdbf.md)"
Chapter 2,,,,,,"Ikelmer catalogue (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Ikelmer%20catalogue%201f1a8fa33dc580b78823c724b92e0677.md), Ikelmer bankrupcy report/ (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Ikelmer%20bankrupcy%20report%201f3a8fa33dc5802cbd66e1b7fe5571c6.md), Le droit: commerson report (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Le%20droit%20commerson%20report%201fca8fa33dc58038a791d17b619388e7.md), Verite pour tous: commerson report (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Verite%20pour%20tous%20commerson%20report%201fca8fa33dc580e6a524c28110c6070b.md), Victor Piarzot (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Victor%20Piarzot%201fca8fa33dc580feb2abfb974d52b0e0.md)",
Chapter 3 (1863),,,,,,"REVUE DE L'ANNÉE 1862 PIÈCE en TROIS ACTES (La chanson) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/REVUE%20DE%20L'ANNE%CC%81E%201862%20PIE%CC%80CE%20en%20TROIS%20ACTES%20(La%20c%201fca8fa33dc580b0bbbec5ca83c18ec6.md), Du camp: mendiants (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Du%20camp%20mendiants%201fca8fa33dc580d18e23db402dbd9987.md), Ordinance feb 63 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Ordinance%20feb%2063%201fca8fa33dc58044b128eb27bf9766ce.md)",
Chapter 4 (1867),,,,,,"Borghese: pre-event notice (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Borghese%20pre-event%20notice%201eea8fa33dc580c18268fbcd07ba6ac3.md), Borghese: day-of program (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Borghese%20day-of%20program%201eea8fa33dc58046ae61ddc73ed4e35d.md), Borghese: post-event report (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Borghese%20post-event%20report%201eea8fa33dc580c2a82fdbb5e7139aba.md), Garrison artillery benefit programme (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Garrison%20artillery%20benefit%20programme%201eea8fa33dc580f2a634fd02ad40ea99.md), Mutual‑aid society “La Famille” charity ball notice (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Mutual%E2%80%91aid%20society%20%E2%80%9CLa%20Famille%E2%80%9D%20charity%20ball%20notic%201eea8fa33dc580d498afc23cf79ff13b.md), Borghese benefit announced (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Borghese%20benefit%20announced%201eea8fa33dc5806ea8bfe218c69bbd80.md)","Borghèse Benefit – Advance Notice (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Borghe%CC%80se%20Benefit%20%E2%80%93%20Advance%20Notice%20(Newspaper)%201eea8fa33dc58149ae91e4ccd27aaa46.md), Borghèse Benefit – Program Listing (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Borghe%CC%80se%20Benefit%20%E2%80%93%20Program%20Listing%20(Newspaper)%201eea8fa33dc5812d9cc7e0a6ac232ac5.md), Borghèse Benefit – Receipts Report (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Borghe%CC%80se%20Benefit%20%E2%80%93%20Receipts%20Report%20(Newspaper)%201eea8fa33dc5816e85cce95c1abd1f2c.md), Garrison Artillery Benefit – Announcement (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Garrison%20Artillery%20Benefit%20%E2%80%93%20Announcement%20(Newspap%201eea8fa33dc5815f8a24d52f0164772e.md), La Famille Charity Ball – Announcement (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/La%20Famille%20Charity%20Ball%20%E2%80%93%20Announcement%20(Newspaper)%201eea8fa33dc581168153d7ca8a0b5710.md), Unspecified Charity Ball – Announcement (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Unspecified%20Charity%20Ball%20%E2%80%93%20Announcement%20(Newspaper%201eea8fa33dc5815cb31bd962aa2b6c30.md), Borghèse Benefit – Addendum Notice (Newspaper) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Primary%20Sources%20(uncat)%201eea8fa33dc580d5bd5acdd19e9616ba/Borghe%CC%80se%20Benefit%20%E2%80%93%20Addendum%20Notice%20(Newspaper)%201eea8fa33dc581a59420f42adc3fe3f5.md)"
Chapter 5 (1870),,,,,,Untitled (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Excerpts%20Sections%20(Primary%20Source%20Excerpts)%201eea8fa33dc580e7a7b1f93606abb6df/Untitled%201f1a8fa33dc5801dbe0cd688dc435478.md),
General plan,,,,,,,
,,,,,,,
,,,,,,,
